Surface_ID,Active_Site,HO,O,dG_HO,dG_O,dG_OOH,dG_1,dG_2,dG_3,dG_4,Overpotential_V,Electronegativity,Radius_pm,Valence_e
47-MnNiCoCrFe-HEO-Co-site,Co,1.29323783000001,3.37677114000002,1.6432378300000101,3.42677114000002,4.84323783000001,1.6432378300000101,1.78353331000001,1.4164666899999903,0.07676216999998964,0.5535333100000099,1.88,125.0,9.0
48-MnNiCoFeCr-HEO-Co-site,Co,1.33244736999998,3.34490061,1.6824473699999798,3.3949006099999997,4.88244736999998,1.6824473699999798,1.7124532400000199,1.4875467599999803,0.03755263000001996,0.4824532400000199,1.88,125.0,9.0
49-FeCrMnCoNi-HEO-Co-site,Co,1.43739496999999,3.46429061000001,1.78739496999999,3.51429061000001,4.98739496999999,1.78739496999999,1.72689564000002,1.4731043599999798,-0.06739496999998984,0.55739496999999,1.88,125.0,9.0
50-FeCrMnNiCo-HEO-Co-site,Co,1.50428339999999,3.34826328,1.8542833999999901,3.3982632799999997,5.05428339999999,1.8542833999999901,1.5439798800000095,1.6560201199999907,-0.1342833999999904,0.6242833999999902,1.88,125.0,9.0
51-FeCrCoMnNi-HEO-Co-site,Co,0.917868339999984,2.97126226,1.267868339999984,3.02126226,4.467868339999984,1.267868339999984,1.753393920000016,1.446606079999984,0.45213166000001603,0.5233939200000159,1.88,125.0,9.0
52-FeCrCoNiMn-HEO-Co-site,Co,0.867736399999984,,1.217736399999984,,4.417736399999984,1.217736399999984,,,0.502263600000016,-0.012263600000016028,1.88,125.0,9.0
53-FeCrNiMnCo-HEO-Co-site,Co,1.27745010000001,3.58211470000001,1.6274501000000101,3.63211470000001,4.827450100000011,1.6274501000000101,2.0046646,1.1953354000000007,0.0925498999999892,0.7746645999999999,1.88,125.0,9.0
54-FeCrNiCoMn-HEO-Co-site,Co,1.25361849999999,3.31878945,1.6036184999999898,3.36878945,4.80361849999999,1.6036184999999898,1.7651709500000101,1.43482904999999,0.11638150000000991,0.5351709500000101,1.88,125.0,9.0
56-FeMnCrNiCo-HEO-Co-site,Co,1.35668090999999,3.34130243000001,1.70668090999999,3.39130243000001,4.90668090999999,1.70668090999999,1.6846215200000199,1.5153784799999799,0.013319090000010192,0.47668090999999,1.88,125.0,9.0
57-FeMnCoCrNi-HEO-Co-site,Co,1.14252290999997,3.35754220000001,1.4925229099999702,3.4075422000000097,4.692522909999971,1.4925229099999702,1.9150192900000396,1.284980709999961,0.22747709000002914,0.6850192900000396,1.88,125.0,9.0
58-FeMnCoNiCr-HEO-Co-site,Co,0.84773727999999,2.90282238000003,1.19773727999999,2.95282238000003,4.3977372799999905,1.19773727999999,1.75508510000004,1.4449148999999606,0.5222627200000094,0.52508510000004,1.88,125.0,9.0
59-FeMnNiCrCo-HEO-Co-site,Co,1.26832812999999,3.49374887000002,1.6183281299999899,3.54374887000002,4.8183281299999905,1.6183281299999899,1.92542074000003,1.2745792599999706,0.10167187000000943,0.6954207400000301,1.88,125.0,9.0
6-CrMnNiCoFe-HEO-Co-site,Co,1.48983596999997,3.47728608,1.83983596999997,3.5272860799999997,5.03983596999997,1.83983596999997,1.6874501100000296,1.5125498899999705,-0.11983596999997026,0.60983596999997,1.88,125.0,9.0
60-FeMnNiCoCr-HEO-Co-site,Co,1.28173687999998,3.30575676999999,1.63173687999998,3.35575676999999,4.83173687999998,1.63173687999998,1.7240198900000099,1.4759801099999899,0.08826312000002012,0.4940198900000099,1.88,125.0,9.0
61-FeCoCrMnNi-HEO-Co-site,Co,1.21950932999999,3.29906732000001,1.56950932999999,3.34906732000001,4.76950932999999,1.56950932999999,1.7795579900000198,1.4204420099999804,0.1504906700000097,0.5495579900000198,1.88,125.0,9.0
63-FeCoMnCrNi-HEO-Co-site,Co,0.850758250000013,3.24552753,1.2007582500000131,3.2955275299999998,4.400758250000013,1.2007582500000131,2.0947692799999866,1.1052307200000135,0.5192417499999866,0.8647692799999867,1.88,125.0,9.0
64-FeCoMnNiCr-HEO-Co-site,Co,1.38585613999999,3.40467770000001,1.7358561399999899,3.4546777000000097,4.93585613999999,1.7358561399999899,1.7188215600000198,1.48117843999998,-0.015856139999989693,0.5058561399999899,1.88,125.0,9.0
65-FeCoNiCrMn-HEO-Co-site,Co,0.97629255999999,3.03926730000001,1.32629255999999,3.0892673000000097,4.52629255999999,1.32629255999999,1.7629747400000197,1.4370252599999804,0.3937074400000098,0.5329747400000198,1.88,125.0,9.0
66-FeCoNiMnCr-HEO-Co-site,Co,1.37291977000001,3.39857305000001,1.72291977000001,3.44857305000001,4.922919770000011,1.72291977000001,1.72565328,1.4743467200000007,-0.0029197700000107574,0.49565328,1.88,125.0,9.0
67-FeNiCrMnCo-HEO-Co-site,Co,1.27353911,3.38496900000001,1.6235391099999998,3.43496900000001,4.8235391100000005,1.6235391099999998,1.81142989000001,1.3885701099999905,0.09646088999999947,0.5814298900000101,1.88,125.0,9.0
68-FeNiCrCoMn-HEO-Co-site,Co,1.22623834999999,3.31735709,1.57623834999999,3.3673570899999996,4.77623834999999,1.57623834999999,1.7911187400000097,1.4088812599999905,0.14376165000000984,0.5611187400000097,1.88,125.0,9.0
69-FeNiMnCrCo-HEO-Co-site,Co,1.25773855999998,3.31787287,1.60773855999998,3.36787287,4.80773855999998,1.60773855999998,1.7601343100000197,1.4398656899999804,0.1122614400000197,0.5301343100000198,1.88,125.0,9.0
7-CrFeMnCoNi-HEO-Co-site,Co,1.14229950999999,3.27609168999999,1.4922995099999898,3.32609168999999,4.69229950999999,1.4922995099999898,1.83379218,1.36620782,0.22770049000000991,0.6037921800000001,1.88,125.0,9.0
70-FeNiMnCoCr-HEO-Co-site,Co,1.54208702999998,3.44382060999999,1.89208702999998,3.49382060999999,5.0920870299999805,1.89208702999998,1.60173358000001,1.5982664199999905,-0.1720870299999806,0.6620870299999799,1.88,125.0,9.0
